iter	RMSE
0	0.8290064337
1	0.8146517166
2	0.8009404707
3	0.7880247364
4	0.7753628901
5	0.7632354094
6	0.751624209
7	0.7404895163
8	0.7297559291
9	0.7194900816
110	0.7094467513111	0.7000323941112	0.691039611
13	0.6825262486
14	0.6743505955
15	0.6665094663
16	0.6591131611
17	0.6519777051
18	0.6451504394
19	0.6385330216
20	0.632322114
21	0.6265182559
22	0.6208614209
23	0.6154860882
24	0.6102468211
25	0.6052302654
26	0.6005459718
27	0.5959477618
28	0.5916604341
29	0.5875391246
30	0.5836668189
31	0.5799256143
32	0.5763774278
33	0.5730048396
34	0.5696851398
35	0.5666152998
36	0.5637898311
37	0.5609463382
38	0.5582846604
39	0.5557123297
40	0.5532255496
41	0.5509051688
42	0.5487889984
43	0.5467244538
44	0.5446956898
45	0.5427391188
46	0.540988481
47	0.5392286788
48	0.5375590383
49	0.5359745441
50	0.534496968
51	0.5330823081
52	0.531747577
53	0.5304417401
54	0.5292315219
55	0.528048701
56	0.5269269262
57	0.5258551525
58	0.5248208283
59	0.5238671641
60	0.5229342395
61	0.5220420954
62	0.5211664088
63	0.5203766749
64	0.5196112551
65	0.518855953
66	0.5181553437
67	0.5174704736
68	0.5168129712
69	0.5162341821
70	0.5156505574
71	0.5150646238
72	0.5144980527
73	0.5139523055
74	0.5134627468
75	0.5129037207
76	0.5124308766
77	0.5119880573
78	0.5115706088
79	0.5111631654
80	0.5107764924
81	0.5103796651
82	0.5100358907
83	0.5096874217
84	0.5093660324
85	0.5090500545
86	0.5087490482
87	0.5084821606
88	0.5081903119
89	0.5079096228
90	0.5076594181
91	0.5073865345
92	0.5071031754
93	0.5068578595
94	0.5066476001
95	0.5063957089
96	0.5061816206
97	0.5059780334
98	0.5057896456
99	0.5056010066
100	0.5054033482
101	0.5051932135
102	0.5050069948
103	0.5048198548
104	0.5046648903
105	0.5044990208
106	0.5043514096
107	0.5041914719
108	0.5040551478
109	0.5039183568
110	0.5037824303
111	0.5036535277
112	0.5034661134
113	0.5033300714
114	0.503199226
115	0.5030897673
116	0.5029809348
117	0.5028833564
118	0.5027669255
119	0.5026338586
120	0.5025139565
121	0.5024185878
122	0.5023270654
123	0.5022288075
124	0.5021472586
125	0.5020539813
126	0.5019589454
127	0.501875181
128	0.5017864912
129	0.5016830188
130	0.5015889032
131	0.5015254496
132	0.5014377451
133	0.5013463032
134	0.5012867613
135	0.501205744
136	0.5011328127
137	0.5010715344
138	0.501009351
139	0.5009358076
140	0.5008778718
141	0.5008017976
142	0.5007473808
143	0.5006837438
144	0.5006223565
145	0.5005647274
146	0.5005001431
147	0.5004431893
148	0.5003660314
149	0.500312623
150	0.5002496055
151	0.5001760624
152	0.5001343107
153	0.5000729353
154	0.5000264158
155	0.4999742695
156	0.4999213822
157	0.4998675649
158	0.4998224308
159	0.49976681
160	0.4996798905
161	0.4996212246
162	0.4995679457
163	0.4995139795
164	0.4994629532
165	0.4994249139
166	0.4993916082
167	0.4993482916
168	0.4993127595
169	0.4992554468
170	0.4991988495
171	0.4991510391
172	0.4990981931
173	0.4990607038
174	0.4990016806
175	0.49895076
176	0.4989014587
177	0.4988601571
178	0.4987951173
179	0.4987616308
180	0.4987167774
181	0.4986872151
182	0.4986174335
183	0.4985676933
184	0.4985291491
185	0.4984616086
186	0.498418529
187	0.4983859081
188	0.4983465965
189	0.4983056683
190	0.4982480576
191	0.4981868766
192	0.4981472728
193	0.4981159411
194	0.4980828827
195	0.4980564181
196	0.4980335557
197	0.4979984893
198	0.4979702474
199	0.4979357296
200	0.4978783733
201	0.4978336974
202	0.4977921002
203	0.4977476077
204	0.4977255042
205	0.4976973907
206	0.4976387833
207	0.4976145707
208	0.4975764972
209	0.4975283419
210	0.4974988673
211	0.4974598572
212	0.4974339379
213	0.4973908635
214	0.4973578382
215	0.4973407419
216	0.4973009519
217	0.4972719348
218	0.4972404562
219	0.4971989362
220	0.4971757504
221	0.4971496123
222	0.4971064651
223	0.4970824913
224	0.497038996
225	0.497012153
226	0.4969771284
227	0.4969442722
228	0.4969256381
229	0.4968877915
230	0.4968573232
231	0.4968262088
232	0.4968040551
233	0.4967666218
234	0.496715466
235	0.4966895977
236	0.4966648846
237	0.4966375652
238	0.4966171929
239	0.4965974379
240	0.4965610499
241	0.4965149391
242	0.496481577
243	0.4964415939
244	0.4964026863
245	0.4963792412
246	0.4963497958
247	0.4963134199
248	0.4962956117
249	0.496274058
250	0.496234567
251	0.496192012
252	0.4961598985
253	0.4961368521
254	0.4960985267
255	0.4960721387
256	0.4960594307
257	0.496039826
258	0.4960040631
259	0.4959662554
260	0.4959357821
261	0.4959132737
262	0.495872908
263	0.4958411524
264	0.4958090716
265	0.495784654
266	0.4957576435
267	0.4957345629
268	0.4957075703
269	0.4956839704
270	0.4956593986
271	0.4956253725
272	0.4955764534
273	0.4955525075
274	0.4955310226
275	0.4954776017
276	0.4954497904
277	0.4954401899
278	0.4954130854
279	0.495388946
280	0.4953655082
281	0.4953334162
282	0.495298155
283	0.4952827211
284	0.4952655158
285	0.4952406068
286	0.495221019
287	0.495178185
288	0.4951399062
289	0.4951161294
290	0.4950944217
291	0.4950744521
292	0.4950466668
293	0.4950248646
294	0.4949931253
295	0.4949690033
296	0.4949516605
297	0.4949176702
298	0.4948912151
299	0.4948654802
