iter	Passed	Remaining
0	37	37113
1	85	42845
2	128	42789
3	157	39119
4	201	40072
5	235	39072
6	277	39435
7	316	39234
8	350	38622
9	392	38821
10	513	46156
11	556	45787
12	606	46073
13	653	46049
14	724	47602
15	767	47214
16	842	48738
17	883	48206
18	929	48000
19	974	47741
20	1016	47403
21	1059	47080
22	1102	46825
23	1143	46519
24	1206	47065
25	1264	47387
26	1308	47149
27	1347	46776
28	1391	46607
29	1433	46350
30	1478	46206
31	1522	46041
32	1563	45803
33	1616	45917
34	1660	45776
35	1704	45635
36	1743	45381
37	1786	45238
38	1834	45191
39	1876	45047
40	1920	44923
41	1964	44819
42	2008	44700
43	2057	44704
44	2109	44769
45	2154	44679
46	2197	44548
47	2243	44486
48	2285	44364
49	2331	44291
50	2371	44127
51	2417	44077
52	2460	43967
53	2501	43818
54	2541	43674
55	2587	43623
56	2633	43568
57	2669	43364
58	2707	43178
59	2753	43133
60	2804	43173
61	2844	43038
62	2883	42881
63	2921	42728
64	2951	42458
65	2996	42405
66	3033	42237
67	3065	42010
68	3100	41831
69	3139	41715
70	3172	41508
71	3203	41286
72	3235	41086
73	3267	40882
74	3307	40796
75	3341	40620
76	3373	40434
77	3407	40274
78	3440	40111
79	3482	40051
80	3517	39905
81	3555	39806
82	3589	39662
83	3624	39519
84	3666	39463
85	3698	39310
86	3735	39198
87	3766	39038
88	3806	38967
89	3848	38909
90	3880	38757
91	3913	38619
92	3943	38462
93	3974	38303
94	4010	38203
95	4044	38082
96	4076	37945
97	4111	37839
98	4141	37694
99	4179	37612
100	4214	37511
101	4252	37438
102	4293	37393
103	4329	37302
104	4365	37211
105	4400	37111
106	4430	36976
107	4464	36872
108	4499	36778
109	4530	36655
110	4564	36561
111	4602	36493
112	4645	36464
113	4677	36353
114	4709	36242
115	4752	36216
116	4786	36126
117	4826	36074
118	4862	35998
119	4895	35902
120	4927	35797
121	4961	35704
122	4993	35602
123	5028	35526
124	5058	35409
125	5088	35297
126	5132	35281
127	5165	35191
128	5196	35086
129	5227	34984
130	5261	34901
131	5292	34799
132	5320	34681
133	5351	34587
134	5380	34474
135	5424	34464
136	5456	34374
137	5488	34280
138	5528	34247
139	5570	34221
140	5609	34176
141	5648	34132
142	5688	34092
143	5714	33967
144	5741	33853
145	5770	33751
146	5793	33617
147	5820	33508
148	5842	33366
149	5861	33214
150	5886	33097
151	5912	32984
152	5937	32872
153	5968	32787
154	6003	32728
155	6034	32647
156	6070	32595
157	6104	32532
158	6134	32448
159	6162	32353
160	6195	32283
161	6219	32174
162	6254	32116
163	6280	32017
164	6306	31914
165	6331	31810
166	6356	31706
167	6389	31643
168	6413	31536
169	6440	31446
170	6464	31337
171	6490	31243
172	6526	31198
173	6564	31163
174	6590	31070
175	6624	31016
176	6652	30931
177	6676	30831
178	6707	30762
179	6736	30688
180	6773	30651
181	6799	30561
182	6829	30491
183	6855	30404
184	6875	30291
185	6906	30226
186	6927	30118
187	6953	30031
188	6980	29952
189	7004	29861
190	7032	29786
191	7055	29691
192	7083	29619
193	7111	29544
194	7142	29486
195	7172	29422
196	7196	29332
197	7219	29243
198	7245	29163
199	7283	29132
200	7315	29078
201	7339	28996
202	7363	28910
203	7390	28838
204	7421	28779
205	7444	28692
206	7467	28607
207	7493	28533
208	7522	28469
209	7548	28395
210	7580	28345
211	7614	28303
212	7644	28243
213	7686	28233
214	7720	28187
215	7744	28109
216	7772	28046
217	7799	27977
218	7832	27930
219	7861	27872
220	7896	27835
221	7921	27760
222	7949	27699
223	7982	27653
224	8007	27582
225	8032	27509
226	8060	27448
227	8088	27386
228	8124	27353
229	8150	27285
230	8178	27225
231	8211	27182
232	8236	27114
233	8261	27042
234	8283	26965
235	8307	26892
236	8328	26813
237	8357	26758
238	8384	26697
239	8411	26636
240	8443	26592
241	8479	26558
242	8509	26509
243	8538	26454
244	8572	26417
245	8599	26358
246	8637	26332
247	8668	26284
248	8692	26217
249	8719	26158
250	8750	26113
251	8782	26069
252	8813	26023
253	8837	25955
254	8875	25930
255	8901	25869
256	8925	25803
257	8960	25769
258	8990	25721
259	9022	25680
260	9049	25623
261	9080	25578
262	9106	25519
263	9130	25453
264	9161	25409
265	9194	25371
266	9239	25364
267	9266	25308
268	9292	25252
269	9322	25204
270	9352	25157
271	9391	25135
272	9416	25075
273	9443	25020
274	9466	24957
275	9491	24896
276	9514	24835
277	9540	24776
278	9568	24727
279	9594	24672
280	9633	24648
281	9660	24597
282	9687	24543
283	9710	24482
284	9732	24416
285	9756	24357
286	9782	24302
287	9813	24261
288	9839	24207
289	9866	24156
290	9890	24097
291	9914	24039
292	9944	23994
293	9972	23947
294	9996	23889
295	10021	23833
296	10051	23790
297	10080	23747
298	10112	23709
299	10141	23663
300	10175	23629
301	10202	23579
302	10239	23554
303	10264	23499
304	10288	23445
305	10316	23396
306	10339	23340
307	10368	23295
308	10397	23250
309	10420	23194
310	10449	23149
311	10477	23105
312	10501	23049
313	10523	22990
314	10547	22936
315	10573	22886
316	10603	22845
317	10632	22802
318	10659	22755
319	10690	22716
320	10712	22660
321	10740	22614
322	10767	22568
323	10804	22542
324	10831	22495
325	10858	22450
326	10885	22404
327	10912	22357
328	10944	22321
329	10972	22277
330	10998	22229
331	11028	22189
332	11056	22147
333	11083	22101
334	11112	22059
335	11142	22019
336	11167	21971
337	11191	21918
338	11215	21868
339	11240	21819
340	11269	21778
341	11295	21732
342	11321	21685
343	11348	21640
344	11373	21593
345	11400	21548
346	11426	21503
347	11461	21473
348	11490	21432
349	11517	21390
350	11551	21358
351	11575	21309
352	11603	21266
353	11629	21223
354	11653	21172
355	11682	21132
356	11708	21088
357	11734	21042
358	11756	20990
359	11791	20962
360	11817	20917
361	11849	20883
362	11879	20846
363	11911	20811
364	11949	20789
365	11976	20745
366	12011	20717
367	12038	20674
368	12063	20628
369	12092	20590
370	12123	20553
371	12145	20503
372	12173	20462
373	12213	20442
374	12238	20397
375	12270	20363
376	12309	20341
377	12331	20290
378	12353	20241
379	12375	20190
380	12408	20158
381	12435	20118
382	12467	20084
383	12497	20047
