iter	RMSE
0	0.828865487
1	0.8145065562
2	0.8007246678
3	0.7876509951
4	0.7749378589
5	0.7627715081
6	0.7511175938
7	0.7399054204
8	0.7291780308
9	0.7189160817
10	0.7090650742
11	0.6997218909
12	0.6908263615
13	0.6821584455
14	0.6739762284
15	0.6661692405
16	0.6587342465
17	0.6516020061
18	0.6447397411
19	0.6381760216
20	0.6319421053
21	0.6260628053
22	0.6203384483
23	0.6149748721
24	0.6097242549
25	0.6047771929
26	0.6000301746
27	0.5954967085
28	0.5911610311
29	0.5870546661
30	0.5832075837
31	0.5794690135
32	0.5758910665
33	0.5724904358
34	0.5692987303
35	0.566236481
36	0.5633704979
37	0.5605406289
38	0.557827012
39	0.5552276548
40	0.5527827516
41	0.5504882447
42	0.5483157367
43	0.5462599617
44	0.544293448
45	0.542356284
46	0.5406513607
47	0.5389878433
48	0.5373308976
49	0.5357646103
50	0.5342219893
51	0.5328143501
52	0.5314453583
53	0.5301429549
54	0.5289128475
55	0.527743663
56	0.5266021621
57	0.525551912
58	0.5245025373
59	0.5235462618
60	0.5226495803
61	0.5217810724
62	0.5209264186
63	0.5200949008
64	0.519323517
65	0.5185553793
66	0.5177729897
67	0.5170971823
68	0.5164361506
69	0.5158449449
70	0.5152815452
71	0.5147082826
72	0.5141498918
73	0.5136032299
74	0.513106627
75	0.5126003979
76	0.512146577
77	0.5116929129
78	0.5112547234
79	0.5108596004
80	0.5104733429
81	0.5100884949
82	0.5097099789
83	0.5093599489
84	0.5090132661
85	0.5086992583
86	0.5083936487
87	0.5081078462
88	0.5078393885
89	0.5075456865
90	0.5072948247
91	0.5070296775
92	0.506803845
93	0.5065403055
94	0.5063021157
95	0.506085827
96	0.5058775469
97	0.5056754112
98	0.5054716829
99	0.5052842395
100	0.5050438697
101	0.5048384182
102	0.5046650145
103	0.5044635946
104	0.5042999972
105	0.5041375825
106	0.5039841106
107	0.5038214795
108	0.5036613125
109	0.5035085534
110	0.5033382396
111	0.5031906191
112	0.503043455
113	0.5029251213
114	0.5027876159
115	0.5026555684
116	0.5025405168
117	0.5024352681
118	0.5023170285
119	0.5022035192
120	0.5021055639
121	0.5019973934
122	0.5019053087
123	0.5018086853
124	0.5017175585
125	0.5016123673
126	0.5015160817
127	0.5014336479
128	0.5013487013
129	0.5012542703
