iter	Passed	Remaining
0	13	13759
1	26	13143
2	41	13764
3	55	13907
4	67	13459
5	77	12847
6	86	12340
7	97	12041
8	108	11938
9	119	11848
10	133	12001
11	144	11868
12	155	11774
13	163	11539
14	175	11499
15	185	11398
16	201	11677
17	211	11547
18	224	11576
19	242	11883
20	253	11806
21	265	11787
22	273	11621
23	285	11623
24	299	11682
25	310	11617
26	324	11678
27	336	11678
28	353	11830
29	366	11837
30	383	12000
31	397	12039
32	413	12109
33	427	12145
34	441	12163
35	451	12097
36	463	12062
37	475	12039
38	488	12044
39	500	12021
40	509	11921
41	519	11841
42	527	11735
43	536	11657
44	544	11565
45	560	11627
46	572	11613
47	583	11582
48	598	11613
49	608	11556
50	617	11484
51	629	11474
52	641	11455
53	654	11462
54	663	11400
55	674	11369
56	683	11310
57	693	11269
58	704	11243
59	716	11228
60	733	11295
61	743	11246
62	756	11249
63	769	11256
64	779	11209
65	788	11154
66	800	11148
67	810	11103
68	820	11068
69	832	11062
70	843	11042
71	853	11003
72	863	10962
73	872	10916
74	880	10856
75	897	10912
76	914	10963
77	926	10948
78	937	10933
79	949	10918
80	957	10867
81	968	10845
82	977	10797
83	986	10761
84	998	10744
85	1007	10703
86	1018	10687
87	1027	10651
88	1039	10636
89	1048	10605
90	1059	10585
91	1068	10547
92	1079	10527
93	1088	10489
94	1100	10482
95	1111	10465
96	1126	10486
97	1136	10461
98	1146	10431
99	1159	10432
100	1167	10393
101	1176	10360
102	1188	10348
103	1201	10352
104	1216	10372
105	1225	10338
106	1240	10349
107	1248	10314
108	1260	10306
109	1270	10276
110	1281	10264
111	1291	10240
112	1304	10242
113	1312	10200
114	1327	10219
115	1340	10214
116	1351	10198
117	1362	10186
118	1372	10158
119	1384	10150
120	1395	10134
121	1404	10106
122	1417	10103
123	1427	10082
124	1439	10073
125	1450	10063
126	1459	10029
127	1468	10005
128	1479	9988
129	1487	9953
130	1499	9945
131	1508	9920
132	1522	9923
133	1536	9927
134	1548	9919
135	1561	9916
136	1573	9910
137	1586	9909
138	1597	9897
139	1607	9874
140	1617	9851
141	1635	9880
142	1645	9863
143	1656	9847
144	1668	9836
145	1676	9809
146	1691	9815
147	1704	9810
148	1711	9777
149	1719	9744
150	1730	9731
151	1746	9740
152	1760	9743
153	1771	9730
154	1779	9702
155	1793	9701
156	1807	9703
157	1816	9681
158	1826	9658
159	1835	9634
160	1844	9613
161	1855	9598
162	1867	9591
163	1876	9564
164	1884	9538
165	1892	9509
166	1901	9482
167	1911	9465
168	1920	9444
169	1930	9424
170	1943	9423
171	1963	9452
172	1977	9455
173	1989	9443
174	2003	9445
175	2016	9439
176	2025	9418
177	2037	9410
178	2048	9395
179	2057	9374
180	2068	9358
181	2080	9349
182	2089	9327
183	2103	9329
184	2112	9307
185	2122	9288
186	2132	9272
187	2143	9257
188	2153	9239
189	2169	9248
190	2179	9230
191	2186	9203
192	2198	9192
193	2208	9175
194	2217	9156
195	2227	9136
196	2240	9132
197	2248	9108
198	2258	9089
199	2267	9069
200	2276	9049
201	2284	9025
202	2292	9001
203	2300	8977
204	2310	8961
205	2319	8938
206	2329	8924
207	2338	8906
208	2348	8888
209	2362	8885
210	2374	8880
211	2384	8863
212	2395	8850
213	2402	8824
214	2412	8808
215	2420	8786
216	2432	8776
217	2446	8774
218	2455	8755
219	2462	8731
220	2474	8722
221	2481	8697
222	2491	8680
223	2502	8669
224	2514	8660
225	2522	8638
226	2532	8622
227	2539	8600
228	2550	8585
229	2558	8564
230	2569	8554
231	2580	8543
232	2590	8528
233	2599	8509
234	2616	8517
235	2628	8510
236	2643	8509
237	2659	8514
238	2669	8500
239	2689	8515
240	2705	8521
241	2719	8517
242	2729	8502
243	2741	8493
244	2755	8492
245	2765	8476
246	2774	8459
247	2783	8441
248	2794	8428
249	2804	8412
250	2815	8402
251	2824	8384
252	2835	8373
253	2846	8360
254	2856	8344
255	2872	8347
256	2885	8341
257	2896	8330
258	2908	8321
259	2921	8313
260	2931	8300
261	2944	8294
262	2959	8292
263	2972	8287
264	2985	8280
265	2994	8263
