model,feature,importance
XGBOOST,hp_per_year,0.5184401273727417
XGBOOST,milage,0.17778950929641724
XGBOOST,car_age_squared,0.13607066869735718
XGBOOST,model_encoded,0.05348677188158035
XGBOOST,engine_hp,0.02153824456036091
LIGHTGBM,milage,8855.0
LIGHTGBM,annual_milage,8397.0
LIGHTGBM,model_encoded,8000.0
LIGHTGBM,brand_x_milage,7221.0
LIGHTGBM,hp_per_year,6908.0
CATBOOST,milage,27.503743101524122
CATBOOST,hp_per_year,24.676320822204083
CATBOOST,model_encoded,15.315823923860167
CATBOOST,car_age_squared,10.33434966516395
CATBOOST,brand_encoded,5.917363311749883
RANDOM_FOREST,hp_per_year,0.48929937445786365
RANDOM_FOREST,milage,0.2759510787204341
RANDOM_FOREST,model_encoded,0.06568147261962164
RANDOM_FOREST,car_age_squared,0.052295236533821676
RANDOM_FOREST,annual_milage,0.03596210457241963
RIDGE,milage,0.40241204914658907
RIDGE,model_encoded,0.30384203649082886
RIDGE,brand_encoded,0.2582348791978214
RIDGE,annual_milage,0.17103110896440926
RIDGE,accident_status_No_Accident,0.07503575387448194
