brand,样本量,均价,均残差,均MAPE,残差占比%,策略
Bentley,191,127016.66492146597,40821.48842037807,0.768797860047658,32.1,被低估 → 收购机会
Lamborghini,121,131303.826446281,26674.22251709145,0.9695007160315489,20.3,被低估 → 收购机会
Porsche,1733,72494.31390652049,15251.797176268918,0.5326131894479564,21.0,被低估 → 收购机会
Maserati,170,59839.59411764706,11621.439157555997,0.47856552741644776,19.4,被低估 → 收购机会
Honda,320,30941.69375,11277.742017100656,0.43448901886083735,36.4,被低估 → 收购机会
RAM,632,53180.36075949367,10185.5335161211,0.3932921513294254,19.2,被低估 → 收购机会
Mercedes-Benz,2995,52527.428714524205,10088.031350271376,0.4288168046415357,19.2,被低估 → 收购机会
Land,1549,53435.484183344095,8940.357870359436,0.38024656649944166,16.7,被低估 → 收购机会
Cadillac,735,44189.65714285714,7396.302351173578,0.33994342989545256,16.7,被低估 → 收购机会
Genesis,158,52929.73417721519,6489.6767074446925,0.48413123537025615,12.3,被低估 → 收购机会
Lexus,1453,35746.29043358569,6464.114022364874,0.34552933512196615,18.1,被低估 → 收购机会
Toyota,1414,30901.10325318246,5232.238951635358,0.38497732111812993,16.9,被低估 → 收购机会
Chevrolet,2580,41528.57054263566,5021.891834509817,0.4067255752613731,12.1,被低估 → 收购机会
BMW,2709,43294.23218899963,4930.420124101604,0.3561838200625535,11.4,被低估 → 收购机会
Kia,393,38011.564885496184,4898.125447820009,0.42715698328426555,12.9,被低估 → 收购机会
Audi,1790,39075.292737430165,4761.848358435853,0.33135158983669605,12.2,被低估 → 收购机会
Alfa,118,49991.42372881356,4632.8932545169055,0.45341661819761553,9.3,定价公允
Lincoln,394,32159.13197969543,4415.63536344828,0.3551966873383581,13.7,被低估 → 收购机会
Jaguar,190,43817.826315789476,4327.310337015186,0.3982472730823706,9.9,定价公允
Nissan,598,30024.809364548495,4307.369609771959,0.40604368536279856,14.3,被低估 → 收购机会
Dodge,516,33191.451550387595,4297.500840779267,0.4676220263776459,12.9,被低估 → 收购机会
Pontiac,100,18758.25,4020.4869160095004,0.5355383498835503,21.4,被低估 → 收购机会
INFINITI,527,34500.307400379505,3875.601222127592,0.3228382083745825,11.2,被低估 → 收购机会
Volkswagen,301,26141.847176079733,3870.325052289599,0.37456884658472683,14.8,被低估 → 收购机会
GMC,525,40180.95809523809,3791.625785522329,0.3104487248422936,9.4,定价公允
Tesla,621,54904.547504025766,3728.810839940716,0.3665110768540163,6.8,定价公允
Ford,3636,38473.523652365235,3658.9473091862196,0.344429600821181,9.5,定价公允
Jeep,992,32978.770161290326,3328.7671451758115,0.33222964060973814,10.1,被低估 → 收购机会
Mazda,413,25823.731234866827,3115.1861037158037,0.3902877473028737,12.1,被低估 → 收购机会
Buick,155,30714.212903225805,2923.1270792620016,0.3080689485795733,9.5,定价公允
Volvo,119,29082.058823529413,2667.6268962868094,0.4216893670917498,9.2,定价公允
Subaru,368,21786.989130434784,2233.2589542438295,0.3567204107237347,10.3,被低估 → 收购机会
Acura,335,26784.417910447763,1940.740627387024,0.34250470510934955,7.2,定价公允
MINI,166,17758.40361445783,1537.2371118607089,0.44290873913306145,8.7,定价公允
Hyundai,318,24402.77358490566,962.0099317688646,0.3445240209732026,3.9,定价公允
